reviews
love echo
loved
sometimes playing game answer question correctly alexa says got wrong answers like able turn lights away home
lot fun thing yr old learns dinosaurs control lights play games like categories nice sound playing music well
music
received echo gift needed another bluetooth something play music easily accessible found smart speaker wait see else
without cellphone cannot use many features ipad see use great alarm u r almost deaf hear alarm bedroom living room reason enough keep fun ask random questions hear response seem smartbon politics yet
think th one purchased working getting one every room house really like features offer specifily playing music echos controlling lights throughout house
looks great
love listened songs heard since childhood get news weather information great
sent year old dad talks constantly
love learning knew things eveyday still figuring everything works far easy use understand make laugh times
purchased mother knee problems give something trying come getting around fast like enjoys little big things alexa play song time cook
love love love
expected
love wife hates
really happy purchase great speaker easy set
using alexa couple days lot fun new toy like new household member trying learn different featues benefits come
love si e nd generation echo still needs little improvement sound
liked original echo shorter greater fabric color choices miss volume ring top plus minus buttons big deal ring w comforting well like use standard usb charger port instead previous round pin guess sounds seems work still answers alexa echo computer like
love echo good music sounds playing alexa understands commands difficult times find specific playlists songs spotify good ama music lacking major programs
love alexa use play music play radio itunes play podcasts anypod set reminders listen flash briefing news weather every morning rely custom lists like able voice control volume sure continue find new uses sometimes bit frustrating alexa understand saying
set days still adding smart home devices speaker great playing music like si e stationed kitchen counter intrusive look
love plays sleep sounds immediately ask
got second unit bedroom expecting sounds improved didnt really see difference overall big improvement st generation
ama ing product
love echo easy operate loads fun everything advertised use mainly play favorite tunes test alexa knowledge
sounds great love
fun item play get used using sometimes hard time answering questions ask think better
like one
still learning capabilities far pretty pretty pretty good
like
works well needs learning command unique owners users like alexa learn tasha birthday alexa learn definition fine etc great
speakers sound pretty good small setup pretty easy bought two reason rate followed instructions synching music units know done correctly sync primary motivation purchasing multiple units
device awesome
bought compare speaker quality first generation speaker like sound better ship daughter though like fact first generation chargeable base bought keeps mobile needs better sound
love echo still learning things able follow instructions included package found great one u tube
speaker better st generation echo
thing way cool get one want cool
first digital assistant giving good review speaker really good cheap price prime day fun play used alarm clock going get first place ended echo go one definitely try like best number devices connect purchase came smart plug connect lamp alexa turn lights
husband likes able use listen music wish knew capabilities
android would allow alexa connect fortunately sister apple cell hour tech support fixed glitches running
far good
tried play certain broadway shows like camelot gives ne group camelot
great
satisfied echo alexa controls lights family room wife listen jimmy buffet asking alexa
like siri fact siri answers accurately alexa see real need household though good bargain prime day deals
love echo still learning every thing works tons fun
love much
different apple play specific list music must ama spotify plus prime etc account must pay play music stars reason everything else
excelente lo unico es que esta en espaol
still learning use far echo great sound actually much better expecting
works expect also good sound quality considering price sale features
sound echo nd generation phenomenal mention love alexa helpful
like google better
lets play learn get
works advertised easy setup still learning
great sound easy set
love alexa bought others friends
love echo purchased company husband alexa great say name tells joke plays favorite songs

love able listen music easily still learning features available
really know could use device used things need overview
love wish built hub
use primarily play music works wonderfully still getting used many things ama sent several tips since got thanks help
easy set
fast response ama ing clear concise answers sound quality fantastic still getting used alexia usde echo full extent
need na na nana
everything expected
love echo works like said would smart home cannot speak function everything else good
great sound small package easy set use fun
works sounds great
sound ama ing many collections music
setting
always listen
awesome
bought control fios television works well hoping time control fios discovered things alexa play music ask great sound alexa play games play radio stations play old time radio programs like long ranger alexa many apps add abilities day played madlibs great fun also alexa control household appliances purchased alexa compatible power strips control lighting fans tv components looking forward implementing controll also add alexa components chosen music play rooms components located
speaker excellent sound works perfectly
like
love everything
little nervous received new echo really tech savvy found bit intimidating first take long figure happy purchase thinking adding echo spot
like still learning use
great technology believe speaker volume quality wonderful wish bought another one
purchased echo dot husband fathers day uses constantly hearing quality sound echo nd generation brainer best gift ever
works fine

clear music
fun use good sound quality
echo works well able sync ama music devices
works great think ama charge another cent unlimited music prime buy echo
already echo dot echo even better fuller sound also setup lets phone calls made contact list great
speaker sounds really good
good sound works well
love alexa savvy support helpful patient
love thinking getting one prime day discount offered could pass fun ask alexa play song group comes playlist ama prime music also connect iphone bluetooth play music pandora youtube videos using alexa speaker fun asking alexa different types questions information like weather news even time countries downside limited data wifi plan alexa uses burns playing music
like far lot try yet
love using strictly music great
love echo love si e material speaker quality hooked one light easily work additional lights thermostat next echo dot bedroom lot echo think traffic weather trivia etc
love
entire family loves alexa echo part family
